date,week,dow,smh1,drac1,eyb1,gre1,gre2
2009-03-31,14,2,2353,681,555,1120,2217
2009-04-01,14,3,2475,696,698,1097,2186
2009-04-02,14,4,2533,608,478,1225,2235
2009-04-03,14,5,2507,640,496,1112,2245
2009-04-04,14,6,1628,1080,660,811,1084
2009-04-05,14,7,2072,1164,689,679,931
2009-04-06,15,1,2960,871,707,1069,1899
2009-04-07,15,2,2623,554,532,1051,1885
2009-04-08,15,3,2370,583,581,848,1835
2009-04-09,15,4,2910,918,779,1038,1860
2009-04-10,15,5,2386,733,511,870,1732
2009-04-11,15,6,934,661,361,492,717
2009-04-12,15,7,1089,572,297,358,622
2009-04-13,16,1,1383,912,475,538,604
2009-04-14,16,2,2016,794,616,985,1723
2009-04-15,16,3,1845,664,518,854,1762
2009-04-16,16,4,854,245,322,521,1153
2009-04-17,16,5,1443,535,412,763,1620
2009-04-18,16,6,1146,874,474,535,895
2009-04-19,16,7,1395,734,454,500,1018
2009-04-20,17,1,2501,466,482,1134,2178
2009-04-21,17,2,2717,585,556,1264,2391
2009-04-22,17,3,2910,891,695,1308,2526
2009-04-23,17,4,3080,799,713,1378,2565
2009-04-24,17,5,2888,686,607,1252,2390
2009-04-25,17,6,1747,951,735,691,1233
2009-04-26,17,7,834,282,214,382,631
2009-04-27,18,1,1139,136,167,553,1258
2009-04-28,18,2,2729,470,454,1028,2129
2009-04-29,18,3,1932,379,527,936,1940
2009-04-30,18,4,2554,676,844,1172,2362
2009-05-01,18,5,2391,1274,1029,845,1211
2009-05-02,18,6,1265,794,696,579,874
2009-05-03,18,7,1886,1124,996,738,1020
2009-05-04,19,1,2328,366,379,1025,2059
2009-05-05,19,2,2764,617,784,1249,2617
2009-05-06,19,3,3125,914,968,1397,2545
2009-05-07,19,4,2939,889,897,1387,2581
2009-05-08,19,5,1097,618,689,397,801
2009-05-09,19,6,1458,833,664,723,1136
2009-05-10,19,7,1415,906,780,637,975
2009-05-11,20,1,2600,699,785,1317,2319
2009-05-12,20,2,2193,520,696,945,2067
2009-05-13,20,3,2745,732,840,1215,2575
2009-05-14,20,4,2303,616,694,1079,2338
2009-05-15,20,5,969,90,122,412,1223
2009-05-16,20,6,1863,1070,1022,833,1234
2009-05-17,20,7,1666,912,654,697,1123
2009-05-18,21,1,2281,603,678,1062,2160
2009-05-19,21,2,3084,900,967,1591,2831
2009-05-20,21,3,2815,809,856,1383,2571
2009-05-21,21,4,1713,1091,1196,707,930
2009-05-22,21,5,1520,768,944,863,1311
2009-05-23,21,6,1226,848,710,615,942
2009-05-24,21,7,1561,896,690,603,966
2009-05-25,22,1,2589,749,801,1330,2501
2009-05-26,22,2,1997,385,497,1185,2319
2009-05-27,22,3,2079,556,582,1132,2354
2009-05-28,22,4,2662,633,745,1382,2696
2009-05-29,22,5,2407,733,769,1197,2512
2009-05-30,22,6,1230,729,613,601,1294
2009-05-31,22,7,1576,778,284,581,1066
2009-06-01,23,1,1582,998,1144,722,1042
2009-06-02,23,2,2544,674,723,1366,2749
2009-06-03,23,3,2830,864,971,1473,2872
2009-06-04,23,4,2808,999,1024,1608,2981
2009-06-05,23,5,1839,475,589,993,2370
2009-06-06,23,6,684,329,216,424,929
2009-06-07,23,7,1152,604,446,539,981
2009-06-08,24,1,2117,508,584,1171,2367
2009-06-09,24,2,2400,547,701,1137,2450
2009-06-10,24,3,2727,881,1012,1374,2725
2009-06-11,24,4,2449,614,682,1235,2428
2009-06-12,24,5,2550,754,799,1310,2562
2009-06-13,24,6,1453,852,636,745,1221
2009-06-14,24,7,1569,720,632,615,1077
2009-06-15,25,1,2351,602,745,1141,2486
2009-06-16,25,2,2547,656,802,1338,2756
2009-06-17,25,3,2415,208,570,1041,1405
2009-06-18,25,4,2698,644,727,1437,2661
2009-06-19,25,5,2183,462,528,1122,2293
2009-06-20,25,6,933,534,420,582,1084
2009-06-21,25,7,1145,396,351,367,886
2009-06-22,26,1,2174,571,696,1154,2250
2009-06-23,26,2,2339,622,713,1295,2469
2009-06-24,26,3,1223,710,845,1271,2538
2009-06-25,26,4,2586,749,800,1336,2658
2009-06-26,26,5,1820,478,526,961,2241
2009-06-27,26,6,881,329,286,527,945
2009-06-28,26,7,1712,889,559,626,1044
2009-06-29,27,1,2377,610,732,1311,2335
2009-06-30,27,2,2394,542,772,1222,2654
2009-07-01,27,3,2393,601,735,1194,2425
2009-07-02,27,4,2327,489,751,1298,2482
2009-07-03,27,5,2038,511,581,1024,2266
2009-07-04,27,6,988,422,381,499,997
2009-07-05,27,7,1035,339,313,489,782
2009-07-06,28,1,2148,541,661,1032,2105
2009-07-07,28,2,2039,610,682,1115,2261
2009-07-08,28,3,1568,489,611,902,1936
2009-07-09,28,4,2200,548,662,1190,2184
2009-07-10,28,5,1798,597,588,892,1979
2009-07-11,28,6,965,752,351,474,873
2009-07-12,28,7,1006,663,375,406,684
2009-07-13,29,1,1219,665,463,698,985
2009-07-14,29,2,1134,582,356,495,695
2009-07-15,29,3,1669,573,482,954,1798
2009-07-16,29,4,1936,721,609,997,1975
2009-07-17,29,5,957,232,218,528,1207
2009-07-18,29,6,530,345,184,280,583
2009-07-19,29,7,1526,995,479,583,767
2009-07-20,30,1,1917,786,627,984,1754
2009-07-21,30,2,2035,697,606,981,1891
2009-07-22,30,3,1664,555,467,789,1624
2009-07-23,30,4,1396,339,395,742,1446
2009-07-24,30,5,1510,575,492,780,1551
2009-07-25,30,6,742,694,397,555,826
2009-07-26,30,7,1119,671,336,470,775
2009-07-27,31,1,1517,610,532,923,1598
2009-07-28,31,2,1804,733,555,923,1816
2009-07-29,31,3,1726,717,624,877,1924
2009-07-30,31,4,1466,594,558,896,1633
2009-07-31,31,5,1334,609,461,790,1552
2009-08-01,31,6,807,542,322,396,736
2009-08-02,31,7,807,412,298,374,539
2009-08-03,32,1,796,368,306,579,1032
2009-08-04,32,2,1421,782,561,824,1491
2009-08-05,32,3,1325,759,543,886,1699
2009-08-06,32,4,1326,637,492,778,1421
2009-08-07,32,5,1126,557,435,696,1199
2009-08-08,32,6,741,531,275,414,675
2009-08-09,32,7,571,340,172,239,524
2009-08-10,33,1,836,348,251,454,850
2009-08-11,33,2,1277,701,518,822,1321
2009-08-12,33,3,1248,731,487,737,1304
2009-08-13,33,4,1247,625,489,696,1284
2009-08-14,33,5,1025,272,390,642,1094
2009-08-15,33,6,726,517,323,380,562
2009-08-16,33,7,906,527,275,380,629
2009-08-17,34,1,1069,562,513,700,1324
2009-08-18,34,2,1390,675,552,787,1454
2009-08-19,34,3,1118,579,462,757,1471
2009-08-20,34,4,1274,607,477,763,1431
2009-08-21,34,5,1252,542,406,713,1364
2009-08-22,34,6,659,628,315,449,712
2009-08-23,34,7,1014,619,336,455,726
2009-08-24,35,1,1367,629,470,947,1575
2009-08-25,35,2,1040,225,314,692,1337
2009-08-26,35,3,1333,312,482,809,1534
2009-08-27,35,4,1811,510,603,1014,1903
2009-08-28,35,5,1565,740,511,903,1776
2009-08-29,35,6,917,428,367,488,836
2009-08-30,35,7,1594,611,460,682,946
2009-08-31,36,1,2035,573,658,1169,2115
